FlorentineDrawings_IdentifierBB1961,Object_image_URL_external
0001489-Berenson,http://www.britishmuseum.org/collectionimages/AN00572/AN00572244_001_l.jpg
0001029-Berenson,http://www.britishmuseum.org/collectionimages/AN00050/AN00050860_001_l.jpg
0001681-Berenson,http://www.britishmuseum.org/collectionimages/AN00055/AN00055877_001_l.jpg
0001512-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275708_001_l.jpg
0000410-Berenson,http://www.britishmuseum.org/collectionimages/AN00707/AN00707952_001_l.jpg
0001026-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200186_001_l.jpg
0001025-Berenson,http://www.britishmuseum.org/collectionimages/AN00218/AN00218867_001_l.jpg
0001345-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051034_001_l.jpg
0001502-Berenson,http://www.britishmuseum.org/collectionimages/AN00556/AN00556369_001_l.jpg
0001685-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232982_001_l.jpg
001476A-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232852_001_l.jpg
0001477-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232979_001_l.jpg
0001495-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101921_001_l.jpg
0001497-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006733_001_l.jpg
0001501-Berenson,http://www.britishmuseum.org/collectionimages/AN00106/AN00106045_001_l.jpg
0001496-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101925_001_l.jpg
0001491-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101931_001_l.jpg
0001494-Berenson,http://www.britishmuseum.org/collectionimages/AN00220/AN00220268_001_l.jpg
0001492-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275709_001_l.jpg
0001509-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275710_001_l.jpg
0001504-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275715_001_l.jpg
0001488-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275724_001_l.jpg
0001487-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006742_001_l.jpg
0001513-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232993_001_l.jpg
0001490-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018257_001_l.jpg
0001480-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232846_001_l.jpg
0001499-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232880_001_l.jpg
0001680-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006744_001_l.jpg
0001518-Berenson,http://www.britishmuseum.org/collectionimages/AN00939/AN00939113_001_l.jpg
0001478-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232985_001_l.jpg
0001479-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101675_001_l.jpg
0001508-Berenson,http://www.britishmuseum.org/collectionimages/AN00235/AN00235483_001_l.jpg
001680A-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101941_001_l.jpg
0001483-Berenson,http://www.britishmuseum.org/collectionimages/AN00112/AN00112836_001_l.jpg
0001484-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006745_001_l.jpg
0001498-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101955_001_l.jpg
0001686-Berenson,http://www.britishmuseum.org/collectionimages/AN00842/AN00842979_001_l.jpg
001686A-Berenson,http://www.britishmuseum.org/collectionimages/AN00160/AN00160896_001_l.jpg
0002482-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018399_001_l.jpg
0001027-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043877_001_l.jpg
0000404-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056768_001_l.jpg
000404A-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056769_001_l.jpg
0000640-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040531_001_l.jpg
0002508-Berenson,http://www.britishmuseum.org/collectionimages/AN00785/AN00785594_001_l.jpg
002509E-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053142_001_l.jpg
0000691-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040397_001_l.jpg
0002485-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018259_001_l.jpg
0001514-Berenson,http://www.britishmuseum.org/collectionimages/AN00233/AN00233032_001_l.jpg
0000641-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040534_001_l.jpg
0000845-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051309_001_l.jpg
0001684-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018408_001_l.jpg
002756A-Berenson,http://www.britishmuseum.org/collectionimages/AN00026/AN00026510_001_l.jpg
0002727-Berenson,http://www.britishmuseum.org/collectionimages/AN00174/AN00174405_001_l.jpg
0001346-Berenson,http://www.britishmuseum.org/collectionimages/AN00225/AN00225884_001_l.jpg
0000400-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056770_001_l.jpg
0000183-Berenson,http://www.britishmuseum.org/collectionimages/AN00226/AN00226403_001_l.jpg
0000136-Berenson,http://www.britishmuseum.org/collectionimages/AN00094/AN00094556_001_l.jpg
02509E1-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053145_001_l.jpg
0001024-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043879_001_l.jpg
0001030-Berenson,http://www.britishmuseum.org/collectionimages/AN00225/AN00225812_001_l.jpg
0002484-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018153_001_l.jpg
0002483-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018156_001_l.jpg
0002729-Berenson,http://www.britishmuseum.org/collectionimages/AN00222/AN00222103_001_l.jpg
0001028-Berenson,http://www.britishmuseum.org/collectionimages/AN00218/AN00218645_001_l.jpg
0000847-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051310_001_l.jpg
0000989-Berenson,http://www.britishmuseum.org/collectionimages/AN00231/AN00231255_001_l.jpg
000693A-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040402_001_l.jpg
0001510-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275723_001_l.jpg
0001511-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275722_001_l.jpg
0002385-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053149_001_l.jpg
0000403-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056772_001_l.jpg
0000540-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043881_001_l.jpg
02509E2-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053150_001_l.jpg
02509E3-Berenson,http://www.britishmuseum.org/collectionimages/AN00214/AN00214713_001_l.jpg
0001683-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200179_001_l.jpg
0001031-Berenson,http://www.britishmuseum.org/collectionimages/AN00050/AN00050868_001_l.jpg
0001023-Berenson,http://www.britishmuseum.org/collectionimages/AN00050/AN00050869_001_l.jpg
0001486-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232960_001_l.jpg
0001476-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018452_001_l.jpg
0001481-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200173_001_l.jpg
0001485-Berenson,http://www.britishmuseum.org/collectionimages/AN00103/AN00103136_001_l.jpg
001507A-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018337_001_l.jpg
0000988-Berenson,http://www.britishmuseum.org/collectionimages/AN00230/AN00230480_001_l.jpg
0000401-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056773_001_l.jpg
0001762-Berenson,http://www.britishmuseum.org/collectionimages/AN00233/AN00233054_001_l.jpg
0000162-Berenson,http://www.britishmuseum.org/collectionimages/AN00208/AN00208228_001_l.jpg
000176A-Berenson,http://www.britishmuseum.org/collectionimages/AN00026/AN00026513_001_l.jpg
0000747-Berenson,http://www.britishmuseum.org/collectionimages/AN00227/AN00227109_001_l.jpg
0001387-Berenson,http://www.britishmuseum.org/collectionimages/AN00227/AN00227109_001_l.jpg
0000542-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043882_001_l.jpg
0000543-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043883_001_l.jpg
0000567-Berenson,http://www.britishmuseum.org/collectionimages/AN00218/AN00218667_001_l.jpg
0000578-Berenson,http://www.britishmuseum.org/collectionimages/AN00039/AN00039950_001_l.jpg
0000579-Berenson,http://www.britishmuseum.org/collectionimages/AN00039/AN00039951_001_l.jpg
000567A-Berenson,http://www.britishmuseum.org/collectionimages/AN00039/AN00039952_001_l.jpg
0002509-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053157_001_l.jpg
0001347-Berenson,http://www.britishmuseum.org/collectionimages/AN00225/AN00225803_001_l.jpg
0000991-Berenson,http://www.britishmuseum.org/collectionimages/AN00231/AN00231297_001_l.jpg
0000694-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056774_001_l.jpg
0000696-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040405_001_l.jpg
0000698-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040406_001_l.jpg
0000642-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040538_001_l.jpg
0000906-Berenson,http://www.britishmuseum.org/collectionimages/AN00039/AN00039580_001_l.jpg
002756H-Berenson,http://www.britishmuseum.org/collectionimages/AN00237/AN00237439_001_l.jpg
0001035-Berenson,http://www.britishmuseum.org/collectionimages/AN00225/AN00225833_001_l.jpg
001035A-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043884_001_l.jpg
0001036-Berenson,http://www.britishmuseum.org/collectionimages/AN00050/AN00050873_001_l.jpg
001261D-Berenson,http://www.britishmuseum.org/collectionimages/AN00234/AN00234975_001_l.jpg
002731A-Berenson,http://www.britishmuseum.org/collectionimages/AN00227/AN00227112_001_l.jpg
0002732-Berenson,http://www.britishmuseum.org/collectionimages/AN00037/AN00037271_001_l.jpg
0001687-Berenson,http://www.britishmuseum.org/collectionimages/AN00222/AN00222106_001_l.jpg
0001688-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018340_001_l.jpg
0001689-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200168_001_l.jpg
001689A-Berenson,http://www.britishmuseum.org/collectionimages/AN00510/AN00510212_001_l.jpg
0001520-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101679_001_l.jpg
002763A-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101679_001_l.jpg
0001521-Berenson,http://www.britishmuseum.org/collectionimages/AN00106/AN00106021_001_l.jpg
0001690-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200163_001_l.jpg
0002487-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018189_001_l.jpg
0001523-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018349_001_l.jpg
0001525-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275721_001_l.jpg
001690A-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018429_001_l.jpg
0001691-Berenson,http://www.britishmuseum.org/collectionimages/AN00937/AN00937314_001_l.jpg
0001527-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232969_001_l.jpg
0001528-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232972_001_l.jpg
0001529-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006763_001_l.jpg
0001692-Berenson,http://www.britishmuseum.org/collectionimages/AN00133/AN00133411_001_l.jpg
0001531-Berenson,http://www.britishmuseum.org/collectionimages/AN00133/AN00133411_001_l.jpg
0001532-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275719_001_l.jpg
0001533-Berenson,http://www.britishmuseum.org/collectionimages/AN00275/AN00275718_001_l.jpg
0001534-Berenson,http://www.britishmuseum.org/collectionimages/AN00102/AN00102065_001_l.jpg
0001535-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018351_001_l.jpg
0001536-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101986_001_l.jpg
0001537-Berenson,http://www.britishmuseum.org/collectionimages/AN00101/AN00101986_001_l.jpg
0000411-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056776_001_l.jpg
0000412-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056778_001_l.jpg
0000413-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056779_001_l.jpg
0000414-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056780_001_l.jpg
0000415-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056782_001_l.jpg
0000416-Berenson,http://www.britishmuseum.org/collectionimages/AN00412/AN00412285_001_l.jpg
0000417-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056784_001_l.jpg
0000418-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056785_001_l.jpg
0000419-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056786_001_l.jpg
0000420-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056787_001_l.jpg
0002733-Berenson,http://www.britishmuseum.org/collectionimages/AN00060/AN00060525_001_l.jpg
0000421-Berenson,http://www.britishmuseum.org/collectionimages/AN00056/AN00056788_001_l.jpg
0000422-Berenson,http://www.britishmuseum.org/collectionimages/AN00060/AN00060526_001_l.jpg
0000423-Berenson,http://www.britishmuseum.org/collectionimages/AN00060/AN00060528_001_l.jpg
0000424-Berenson,http://www.britishmuseum.org/collectionimages/AN00476/AN00476818_001_l.jpg
0002734-Berenson,http://www.britishmuseum.org/collectionimages/AN00039/AN00039582_001_l.jpg
0001763-Berenson,http://www.britishmuseum.org/collectionimages/AN00222/AN00222110_001_l.jpg
0000992-Berenson,http://www.britishmuseum.org/collectionimages/AN00027/AN00027756_001_l.jpg
0000699-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040407_001_l.jpg
02509E4-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053181_001_l.jpg
02509N1-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053533_001_l.jpg
0002735-Berenson,http://www.britishmuseum.org/collectionimages/AN00023/AN00023759_001_l.jpg
0000901-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018474_001_l.jpg
0002782-Berenson,http://www.britishmuseum.org/collectionimages/AN00227/AN00227180_001_l.jpg
02509E5-Berenson,http://www.britishmuseum.org/collectionimages/AN00476/AN00476849_001_l.jpg
0000000-Berenson,http://www.britishmuseum.org/collectionimages/AN00366/AN00366423_001_l.jpg
0002488-Berenson,http://www.britishmuseum.org/collectionimages/AN00006/AN00006770_001_l.jpg
0002486-Berenson,http://www.britishmuseum.org/collectionimages/AN00102/AN00102060_001_l.jpg
0000131-Berenson,http://www.britishmuseum.org/collectionimages/AN00227/AN00227117_001_l.jpg
0000133-Berenson,http://www.britishmuseum.org/collectionimages/AN00094/AN00094560_001_l.jpg
0002731-Berenson,http://www.britishmuseum.org/collectionimages/AN00175/AN00175076_001_l.jpg
000203C-Berenson,http://www.britishmuseum.org/collectionimages/AN00229/AN00229221_001_l.jpg
0001519-Berenson,http://www.britishmuseum.org/collectionimages/AN00102/AN00102062_001_l.jpg
0000693-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040478_001_l.jpg
0001033-Berenson,http://www.britishmuseum.org/collectionimages/AN00022/AN00022655_001_l.jpg
0001034-Berenson,http://www.britishmuseum.org/collectionimages/AN00022/AN00022655_001_l.jpg
02509E6-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053534_001_l.jpg
2509E61-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053189_001_l.jpg
0000692-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040480_001_l.jpg
000424B-Berenson,http://www.britishmuseum.org/collectionimages/AN00060/AN00060533_001_l.jpg
000424A-Berenson,http://www.britishmuseum.org/collectionimages/AN00060/AN00060534_001_l.jpg
000699A-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040481_001_l.jpg
002735A-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232234_001_l.jpg
000138A-Berenson,http://www.britishmuseum.org/collectionimages/AN00094/AN00094580_001_l.jpg
0000138-Berenson,http://www.britishmuseum.org/collectionimages/AN00095/AN00095005_001_l.jpg
0000140-Berenson,http://www.britishmuseum.org/collectionimages/AN00027/AN00027757_001_l.jpg
02756H3-Berenson,http://www.britishmuseum.org/collectionimages/AN00237/AN00237448_001_l.jpg
001034A-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043886_001_l.jpg
001034B-Berenson,http://www.britishmuseum.org/collectionimages/AN00043/AN00043887_001_l.jpg
000641A-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040539_001_l.jpg
001519A-Berenson,http://www.britishmuseum.org/collectionimages/AN00200/AN00200159_001_l.jpg
002506C-Berenson,http://www.britishmuseum.org/collectionimages/AN00237/AN00237505_001_l.jpg
000905D-Berenson,http://www.britishmuseum.org/collectionimages/AN00602/AN00602431_001_l.jpg
000015B-Berenson,http://www.britishmuseum.org/collectionimages/AN00060/AN00060536_001_l.jpg
2509E63-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053196_001_l.jpg
001347A-Berenson,http://www.britishmuseum.org/collectionimages/AN00413/AN00413099_001_l.jpg
001347E-Berenson,http://www.britishmuseum.org/collectionimages/AN00413/AN00413427_001_l.jpg
000641B-Berenson,http://www.britishmuseum.org/collectionimages/AN00040/AN00040540_001_l.jpg
001347B-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051042_001_l.jpg
001347D-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051043_001_l.jpg
000766B-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051044_001_l.jpg
000766C-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051045_001_l.jpg
2509E64-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053198_001_l.jpg
02509N3-Berenson,http://www.britishmuseum.org/collectionimages/AN00228/AN00228075_001_l.jpg
001538A-Berenson,http://www.britishmuseum.org/collectionimages/AN00232/AN00232977_001_l.jpg
000138B-Berenson,http://www.britishmuseum.org/collectionimages/AN00225/AN00225956_001_l.jpg
001692A-Berenson,http://www.britishmuseum.org/collectionimages/AN00708/AN00708258_001_l.jpg
001347C-Berenson,http://www.britishmuseum.org/collectionimages/AN00051/AN00051048_001_l.jpg
001538B-Berenson,http://www.britishmuseum.org/collectionimages/AN00018/AN00018516_001_l.jpg
002389A-Berenson,http://www.britishmuseum.org/collectionimages/AN00053/AN00053212_001_l.jpg
001038A-Berenson,http://www.britishmuseum.org/collectionimages/AN00050/AN00050909_001_l.jpg
002488A-Berenson,http://www.britishmuseum.org/collectionimages/AN00024/AN00024468_001_l.jpg